smiles,pIC50,activity_label
Cn1c(=O)c(Cc2ccc(C(=N)N)cc2)nc2cc(C(C)(C)C(=O)N3CCCC3)ccc21,8.301029995663981,Active
CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccc(OC)cc2s1,8.301029995663981,Active
N=C(N)c1ccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NCC(=O)O)C(c2ccccc2)c2ccccc2)s1,8.301029995663981,Active
COc1ccccc1C(=O)n1nc(-c2cccnc2)nc1SCc1ccc(F)cc1,8.301029995663981,Active
CC(C)C[C@@H](NC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)NCc1ccc2c(N)nccc2c1,8.301029995663981,Active
CC(C)(C)C(=O)n1nc(-c2cccnn2)cc1NCc1ccc(F)cc1,8.301029995663981,Active
O=C(c1ccccc1Cl)n1nc(-c2ccccn2)nc1NCc1ccccc1,8.301029995663981,Active
N=C(N)NCCC[C@H](NC(=O)[C@@H]1CC[C@H]2CN(C(=O)CCc3ccccc3)CC(=O)N21)C(=O)c1nccs1,8.301029995663981,Active
O=C(c1ccccc1)n1nc(-c2ccccn2)cc1NCc1ccc(Cl)s1,8.301029995663981,Active
CCCCC(CC(=O)N1CCC[C@H]1C(=O)NCC1CCC(N)CC1)c1ccccc1,8.301029995663981,Active
COc1ccccc1C(=O)n1nc(-c2ccccn2)nc1NCc1ccccc1,8.301029995663981,Active
CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccc(C(N)=O)cc2s1,8.301029995663981,Active
COC(=O)C[C@H](NS(=O)(=O)Cc1ccccc1)C(=O)N1CCCC1C(=O)N[C@H]1CCCN(C(=N)N)C1O,8.300162274132754,Active
COc1cc(C(=O)N2CC(C)OC[C@H]2C)cc2nc(N[C@@H](CF)c3cccc(Cl)c3)oc12,8.275724130399212,Active
CN[C@@H](C(=O)N1CCC[C@H]1C(=O)NC(CCCN=C(N)N)C(=O)c1nc2ccccc2s1)C1CCCCC1,8.275724130399212,Active
Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccc3)ccc21,8.267606240177031,Active
